tag,value,currency
AccountType,INDIVIDUAL,
Cushion,1,
DayTradesRemaining,-1,
DayTradesRemainingT+1,-1,
DayTradesRemainingT+2,-1,
DayTradesRemainingT+3,-1,
DayTradesRemainingT+4,-1,
LookAheadNextChange,0,
AccruedCash,86.35,USD
AvailableFunds,1000000.00,USD
BuyingPower,4000000.00,USD
EquityWithLoanValue,1000000.00,USD
ExcessLiquidity,1000000.00,USD
FullAvailableFunds,1000000.00,USD
FullExcessLiquidity,1000000.00,USD
FullInitMarginReq,0.00,USD
FullMaintMarginReq,0.00,USD
GrossPositionValue,0.00,USD
InitMarginReq,0.00,USD
LookAheadAvailableFunds,1000000.00,USD
LookAheadExcessLiquidity,1000000.00,USD
LookAheadInitMarginReq,0.00,USD
LookAheadMaintMarginReq,0.00,USD
MaintMarginReq,0.00,USD
NetLiquidation,1000086.35,USD
PreviousDayEquityWithLoanValue,1000000.00,USD
RegTEquity,1000086.35,USD
RegTMargin,0.00,USD
SMA,1000086.35,USD
TotalCashValue,1000000.00,USD
Currency,USD,USD
CashBalance,1000000.00,USD
TotalCashBalance,1000000.00,USD
AccruedCash,86.35,USD
StockMarketValue,0.00,USD
OptionMarketValue,0.00,USD
FutureOptionValue,0.00,USD
FuturesPNL,0.00,USD
NetLiquidationByCurrency,1000086.35,USD
UnrealizedPnL,0.00,USD
RealizedPnL,0.00,USD
ExchangeRate,1.00,USD
FundValue,0.00,USD
NetDividend,0.00,USD
MutualFundValue,0.00,USD
MoneyMarketFundValue,0.00,USD
CorporateBondValue,0.00,USD
TBondValue,0.00,USD
TBillValue,0.00,USD
WarrantValue,0.00,USD
FxCashBalance,0.00,USD
AccountOrGroup,All,USD
RealCurrency,USD,USD
IssuerOptionValue,0.00,USD
Cryptocurrency,0.00,USD
Currency,BASE,BASE
CashBalance,1000000.00,BASE
TotalCashBalance,1000000.00,BASE
AccruedCash,86.35,BASE
StockMarketValue,0.00,BASE
OptionMarketValue,0.00,BASE
FutureOptionValue,0.00,BASE
FuturesPNL,0.00,BASE
NetLiquidationByCurrency,1000086.35,BASE
UnrealizedPnL,0.00,BASE
RealizedPnL,0.00,BASE
ExchangeRate,1.00,BASE
FundValue,0.00,BASE
NetDividend,0.00,BASE
MutualFundValue,0.00,BASE
MoneyMarketFundValue,0.00,BASE
CorporateBondValue,0.00,BASE
TBondValue,0.00,BASE
TBillValue,0.00,BASE
WarrantValue,0.00,BASE
FxCashBalance,0.00,BASE
AccountOrGroup,All,BASE
RealCurrency,BASE,BASE
IssuerOptionValue,0.00,BASE
Cryptocurrency,0.00,BASE
